predictor,lrt_chisq,lrt_sig,coef_reason,se_reason,z_reason,lower_reason,upper_reason,pval_reason,coef_female,pval_female,coef_non_binary,pval_non_binary,coef_mid,pval_mid,coef_late,pval_late,coef_other,pval_other,gender_effect,n_yes_female,n_yes_male,n_yes_non_binary,lrt_qval
reason_question_interest,10.324,0.001,1.073,0.34,3.153,0.406,1.741,0.002,-0.473,0.069,1.156,0.298,0.902,0,2.583,0,1.052,0.086,no_gender_effect,220,102,7,0.00375
reason_question_voiceheard,7.029,0.008,1.679,0.763,2.2,0.183,3.175,0.028,-0.495,0.055,0.971,0.39,0.747,0.002,2.651,0,0.993,0.107,no_gender_effect,12,9,2,0.0171428571428571
reason_question_appreciate,2.247,0.134,0.426,0.288,1.479,-0.138,0.99,0.139,-0.501,0.05,1.295,0.243,0.791,0.001,2.638,0,1.059,0.081,no_gender_effect,53,28,1,0.201
reason_question_understand,3.936,0.047,0.511,0.258,1.983,0.006,1.016,0.047,-0.515,0.044,1.399,0.212,0.79,0.001,2.746,0,1.02,0.094,no_gender_effect,186,82,4,0.0783333333333333
reason_question_relevance,0.028,0.866,-0.038,0.229,-0.168,-0.486,0.409,0.866,-0.514,0.044,1.272,0.252,0.798,0.001,2.661,0,1.079,0.076,no_gender_effect,129,55,5,0.866
reason_noquestion_clever,5.329,0.021,-0.559,0.242,-2.311,-1.033,-0.085,0.021,-0.464,0.072,1.377,0.219,0.714,0.004,2.492,0,1.056,0.085,no_gender_effect,89,29,3,0.039375
reason_noquestion_misunderstand,0.042,0.838,-0.048,0.235,-0.205,-0.51,0.413,0.838,-0.515,0.043,1.271,0.252,0.786,0.001,2.646,0,1.09,0.073,no_gender_effect,105,44,4,0.866
reason_noquestion_intimidated_audience,7.328,0.007,-0.766,0.284,-2.696,-1.323,-0.209,0.007,-0.428,0.098,1.277,0.253,0.67,0.007,2.546,0,0.975,0.112,no_gender_effect,59,14,1,0.0171428571428571
reason_noquestion_intimidated_setting,0.184,0.668,-0.171,0.398,-0.43,-0.952,0.609,0.667,-0.506,0.048,1.311,0.24,0.787,0.001,2.667,0,1.106,0.069,no_gender_effect,27,6,2,0.770769230769231
reason_noquestion_relevance,0.848,0.357,0.215,0.234,0.919,-0.243,0.673,0.358,-0.503,0.049,1.331,0.231,0.816,0.001,2.701,0,1.054,0.083,no_gender_effect,100,50,1,0.44625
reason_noquestion_phrasing,1.803,0.179,-0.335,0.249,-1.346,-0.822,0.153,0.178,-0.452,0.081,1.361,0.223,0.759,0.002,2.573,0,1.028,0.092,gender_effect,88,20,3,0.244090909090909
reason_noquestion_notime,12.415,0,0.979,0.29,3.382,0.412,1.547,0.001,-0.435,0.094,1.195,0.287,0.733,0.003,2.488,0,1.06,0.085,no_gender_effect,65,38,3,0
reason_noquestion_introvert,23.122,0,-1.27,0.269,-4.715,-1.798,-0.742,0,-0.412,0.117,1.168,0.293,0.762,0.002,2.569,0,0.929,0.136,no_gender_effect,68,20,1,0
reason_noquestion_private,19.842,0,-1.038,0.237,-4.383,-1.502,-0.574,0,-0.434,0.096,0.928,0.403,0.822,0.001,2.474,0,1.224,0.048,no_gender_effect,125,46,1,0
reason_noquestion_confidence,6.979,0.008,-0.698,0.265,-2.636,-1.216,-0.179,0.008,-0.422,0.103,1.268,0.257,0.76,0.002,2.47,0,1.035,0.092,no_gender_effect,68,16,1,0.0171428571428571
